Src_Modifiers,Src_Num_Parameters,Src_LOC,Src_Num_local,Src_Num_Literal,Src_Num_Invocation,Src_Num_Loop,Src_Num_While,Src_Num_For,Src_Num_If,Src_Num_Conditional,Src_Num_Switch,Src_Num_Var_Ac,Src_Num_Field_Ac,Src_Num_Arr_Ac,Src_Num_Assert,Src_Num_Assign,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_Loop,Num_While,Num_For,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Field_Ac,Num_Arr_Ac,Num_Assert,Num_Assign,commonVariableAccess,commonFieldAccess,commonInvocation,commonTypeAccess,commonTypedElement,commonModifiable
"[public]",1,20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,1,0,5,1,0,0,0,0,0,0,3,2,0,0,0,3,2,0,1,8,0
"[public]",1,20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,1,1,16,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,13,0
"[public]",1,20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,1,1,7,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,8,0
"[public]",1,20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,1,1,10,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,10,0
"[public]",1,20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,1,1,9,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,1,8,0
"[public]",1,20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,1,1,18,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,14,0
"[public]",1,20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,1,1,10,0,0,0,0,0,0,0,8,8,0,0,0,1,1,0,1,4,0
"[public]",0,4,5,5,9,1,0,0,4,0,0,17,2,0,0,0,8,2,1,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0
"[protected]",0,10,12,21,48,2,0,0,7,0,0,56,7,0,0,3,3,0,1,0,0,0,0,1,0,0,3,1,0,0,1,1,0,0,1,4,0
"[protected]",0,12,10,10,16,0,0,0,4,1,0,25,0,0,0,1,39,10,10,16,0,0,0,4,1,0,30,0,0,0,1,0,0,0,0,0,0
"[public]",1,2,0,2,2,0,0,0,2,0,0,7,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"[protected]",1,6,0,2,12,0,0,0,0,0,0,7,6,0,0,1,4,0,2,4,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,5,0
"[protected]",2,1,0,4,7,0,0,0,2,0,0,14,5,0,0,0,8,0,3,5,0,0,0,1,0,0,9,3,0,0,0,4,2,1,1,8,0
"[private]",1,10,2,4,11,0,0,0,9,0,0,42,17,0,0,0,22,1,3,6,0,0,0,5,0,0,13,3,0,0,0,0,0,0,2,3,0
"[public]",1,6,20,33,51,4,2,1,13,1,2,84,5,0,0,10,76,12,17,26,2,1,1,7,0,1,47,3,0,0,5,8,0,4,2,23,2
"[protected]",0,12,15,21,64,2,0,0,12,0,0,93,34,0,0,7,54,4,12,30,2,0,0,5,0,0,39,13,0,0,0,5,4,2,1,11,0
"[public]",1,2,2,2,8,0,0,0,4,0,0,15,7,0,0,2,11,1,1,2,0,0,0,2,0,0,9,4,0,0,2,0,0,0,1,2,0
"[public]",0,7,2,3,13,0,0,0,0,0,0,9,5,0,1,0,26,2,5,17,0,0,0,1,0,0,18,8,0,1,2,0,0,0,0,0,0
"[public]",0,7,2,7,8,0,0,0,0,0,0,14,12,0,0,1,1,0,0,1,0,0,0,0,0,0,6,6,0,0,0,1,1,0,1,3,0
"[public]",6,11,5,2,11,0,0,0,0,0,0,18,2,0,0,0,13,3,2,8,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,3,0
"[public]",2,6,3,3,14,1,0,0,2,0,0,23,12,0,1,3,4,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,3,0
"[public]",2,6,3,3,14,1,0,0,2,0,0,23,12,0,1,3,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,1,0,1,4,0
"[private]",3,1,10,8,25,2,2,0,6,0,0,51,11,0,0,2,73,8,7,20,2,2,0,3,0,0,42,8,0,0,2,0,0,0,1,2,0
"[private]",2,9,5,4,17,0,0,0,4,0,0,21,4,0,0,3,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"[public]",2,6,4,8,25,0,0,0,10,0,0,42,16,0,0,2,30,2,5,17,0,0,0,4,0,0,25,8,0,0,2,4,2,1,1,8,0
"[public]",0,5,0,4,4,0,0,0,2,0,0,5,5,0,0,0,3,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,2,0
"[private]",2,1,6,4,25,0,0,0,5,0,0,35,9,0,0,0,46,8,3,20,0,0,0,4,0,0,40,11,0,0,0,0,0,0,0,0,0
"[public]",2,2,5,0,9,0,0,0,1,1,0,16,5,0,0,0,3,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"[protected]",5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
"[protected]",3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
"[protected]",5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
"[protected]",5,1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
"[protected]",3,1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,15,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0
"[public]",0,8,2,1,11,0,0,0,0,0,0,6,2,0,0,0,12,3,0,5,1,0,0,0,0,0,6,1,0,0,0,1,0,0,1,3,0
"[public]",1,1,1,1,1,0,0,0,0,0,0,6,3,0,0,0,10,1,1,0,0,0,0,0,0,0,5,2,0,0,0,1,1,0,1,3,0
"[public]",0,1,1,1,1,0,0,0,0,0,0,5,3,0,0,0,10,1,1,0,0,0,0,0,0,0,5,2,0,0,0,1,1,0,1,3,0
"[public]",0,1,0,11,0,0,0,0,0,0,0,5,5,0,0,0,4,0,19,2,0,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0
"[public]",0,5,0,5,9,0,0,0,0,0,0,7,7,0,0,0,10,0,5,9,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0
"[public]",0,7,1,6,10,0,0,0,0,0,0,9,7,0,0,0,10,0,5,9,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,1,0
