Src_LOC,Src_Num_local,Src_Num_Literal,Src_Num_Invocation,Src_Num_Loop,Src_Num_While,Src_Num_For,Src_Num_If,Src_Num_Conditional,Src_Num_Switch,Src_Num_Var_Ac,Src_Num_Field_Ac,Src_Num_Arr_Ac,Src_Num_Assert,Src_Num_Assign,LOC_Extracted_Method,Num_local,Num_Literal,Num_Invocation,Num_Loop,Num_While,Num_For,Num_If,Num_Conditional,Num_Switch,Num_Var_Ac,Num_Field_Ac,Num_Arr_Ac,Num_Assert,Num_Assign,Ratio_Variable_Access,Ratio_Field_Access,Ratio_Invocation,Ratio_Type_Access,Ratio_Typed_Ele,Ratio_Modifiable,Ratio_Package
20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,3,0,9,3,0,0,0,0,0,0,7,4,0,0,0,1.0,1.0,0.0,0.21052631578947367,1.0,0.0,0.19718309859154928
20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,2,1,16,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.5,0.0,0.1469387755102041
20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,2,1,7,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.3333333333333333,0.0,0.07346938775510205
20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,2,1,10,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.5,0.0,0.09795918367346938
20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,4,2,14,2,0,0,0,0,0,0,9,5,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,2,1,18,0,0,0,0,0,0,0,2,2,0,0,0,0.14285714285714285,0.14285714285714285,0.0,0.10526315789473684,0.5,0.0,0.16326530612244897
20,8,97,12,0,0,0,0,0,0,47,27,0,0,0,4,2,23,2,0,0,0,0,0,0,14,10,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
4,5,5,9,1,0,0,4,0,0,17,2,0,0,0,2,2,1,3,0,0,0,0,0,0,4,0,0,0,0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,1.0
10,12,21,48,2,0,0,7,0,0,56,7,0,0,3,3,1,1,0,0,0,0,1,0,0,5,2,0,0,1,1.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.08064516129032258
12,10,10,16,0,0,0,4,1,0,25,0,0,0,1,12,10,10,16,0,0,0,4,1,0,30,0,0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2,0,2,2,0,0,0,2,0,0,7,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
6,0,2,12,0,0,0,0,0,0,7,6,0,0,1,1,0,2,4,0,0,0,0,0,0,1,1,0,0,0,0.2,0.2,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.0,0.8333333333333334
12,12,0,32,4,0,0,4,0,0,45,15,0,0,3,2,1,1,8,0,0,0,2,0,0,14,6,0,0,0,1.0,0.5,0.5,0.5,1.0,0.0,1.0
1,0,4,7,0,0,0,2,0,0,14,5,0,0,0,5,0,3,5,0,0,0,1,0,0,9,3,0,0,0,0.7142857142857143,0.6666666666666666,0.5,0.6,0.7142857142857143,0.0,0.875
10,2,4,11,0,0,0,9,0,0,42,17,0,0,0,6,1,3,6,0,0,0,5,0,0,13,3,0,0,0,1.0,0.0,0.0,0.5,1.0,0.0,1.0
6,20,33,51,4,2,1,13,1,2,84,5,0,0,10,5,12,17,26,2,1,1,7,0,1,47,3,0,0,5,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,15,21,64,2,0,0,12,0,0,93,34,0,0,7,1,4,12,30,2,0,0,5,0,0,39,13,0,0,0,1.0,0.75,1.0,1.0,1.0,0.0,1.0
5,0,1,9,0,0,0,2,0,0,11,6,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2,2,2,8,0,0,0,4,0,0,15,7,0,0,2,4,1,1,2,0,0,0,2,0,0,9,4,0,0,2,1.0,0.0,0.0,0.625,1.0,0.0,0.0
7,2,3,13,0,0,0,0,0,0,9,5,0,1,0,8,2,5,17,0,0,0,1,0,0,18,8,0,1,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0
7,2,7,8,0,0,0,0,0,0,14,12,0,0,1,7,1,1,8,0,0,0,1,0,0,15,8,0,0,1,0.75,0.75,0.0,0.8,0.8,0.0,1.0
11,5,2,11,0,0,0,0,0,0,18,2,0,0,0,9,3,2,8,0,0,0,0,0,0,14,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.7058823529411765
6,3,3,14,1,0,0,2,0,0,23,12,0,1,3,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0.25,0.25,0.0,0.14285714285714285,0.25,0.0,0.15384615384615385
6,3,3,14,1,0,0,2,0,0,23,12,0,1,3,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0.25,0.25,0.0,0.07142857142857142,0.25,0.0,0.15384615384615385
1,10,8,25,2,2,0,6,0,0,51,11,0,0,2,1,8,7,20,2,2,0,3,0,0,42,8,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5,4,17,0,0,0,4,0,0,21,4,0,0,3,2,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,4,8,25,0,0,0,10,0,0,42,16,0,0,2,3,2,5,17,0,0,0,4,0,0,25,8,0,0,2,1.0,1.0,1.0,0.5294117647058824,1.0,0.0,1.0
5,0,4,4,0,0,0,2,0,0,5,5,0,0,0,1,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1.0,1.0,0.0,0.25,1.0,0.0,1.0
1,6,4,25,0,0,0,5,0,0,35,9,0,0,0,8,8,3,20,0,0,0,4,0,0,40,11,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2,5,0,9,0,0,0,1,1,0,16,5,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.3333333333333333
1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1,2,0,4,0,0,0,1,0,0,11,1,0,0,0,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1,1,0,3,0,0,0,0,0,0,5,1,0,0,0,2,1,0,6,0,0,0,2,0,0,12,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
8,2,1,11,0,0,0,0,0,0,6,2,0,0,0,4,3,0,5,1,0,0,0,0,0,6,1,0,0,0,0.6666666666666666,0.0,0.0,0.4,0.6666666666666666,0.0,1.0
1,1,1,1,0,0,0,0,0,0,6,3,0,0,0,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0
1,1,1,1,0,0,0,0,0,0,5,3,0,0,0,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0
1,0,11,0,0,0,0,0,0,0,5,5,0,0,0,1,0,19,2,0,0,0,0,2,0,7,7,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
5,0,5,9,0,0,0,0,0,0,7,7,0,0,0,5,0,5,9,0,0,0,0,0,0,8,7,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
7,1,6,10,0,0,0,0,0,0,9,7,0,0,0,5,0,5,9,0,0,0,0,0,0,8,7,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
10,2,4,28,0,0,0,9,0,0,16,0,0,0,2,3,1,2,11,0,0,0,4,0,0,6,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.2
7,4,6,33,1,0,0,1,0,0,25,9,2,0,3,4,1,4,4,0,0,0,0,0,0,7,0,1,0,1,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,1.0
10,27,23,60,4,0,0,7,0,0,101,12,0,0,8,11,10,2,19,2,0,0,3,0,0,38,4,0,0,1,1.0,1.0,0.3333333333333333,0.6153846153846154,1.0,1.0,0.3274336283185841
10,27,23,60,4,0,0,7,0,0,101,12,0,0,8,4,6,4,14,1,0,0,1,0,0,14,3,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
4,2,1,3,0,0,0,0,0,0,7,1,0,0,0,4,2,1,3,0,0,0,0,0,0,7,0,0,0,0,1.0,0.0,0.0,0.5,1.0,0.0,1.0
15,9,4,14,0,0,0,0,0,0,17,0,0,0,1,6,4,0,6,0,0,0,0,0,0,8,0,0,0,1,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.6111111111111112
12,5,12,20,0,0,0,6,0,0,36,21,0,0,2,6,4,5,8,0,0,0,1,1,0,15,1,0,0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0
12,5,12,20,0,0,0,6,0,0,36,21,0,0,2,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,0.14754098360655737
30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,1,0,0,7,0,0,0,0,0,0,3,2,0,0,0,0.0,0.0,0.08333333333333333,0.018604651162790697,0.08333333333333333,0.0,0.012213740458015267
30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.08333333333333333,0.0071090047393364926,0.08333333333333333,0.0,0.0071090047393364926
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,1,9,11,0,0,0,6,0,0,26,3,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2,11,12,0,0,0,6,0,0,30,3,0,0,6,3,1,9,11,0,0,0,6,0,0,26,3,0,0,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3,20,42,93,8,0,0,16,0,0,122,12,0,0,6,5,0,3,5,0,0,0,1,0,0,12,0,0,0,0,0.0,0.0,0.0,0.12,1.0,0.0,0.1510791366906475
101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,1,11,7,31,1,0,0,8,0,0,39,4,0,0,2,1.0,0.1875,1.0,1.0,1.0,1.0,0.5333333333333333
101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,20,1,12,49,0,0,0,1,0,0,59,45,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,7,2,2,17,0,0,0,3,0,0,22,13,0,0,3,1.0,1.0,1.0,0.12612612612612611,1.0,0.3333333333333333,0.3125
101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,3,4,1,35,0,0,0,6,0,0,26,6,1,0,1,1.0,0.3157894736842105,1.0,0.05405405405405406,1.0,1.0,0.5172413793103449
101,45,72,208,3,0,2,21,0,0,335,160,1,0,49,14,14,6,22,2,0,2,0,0,0,38,10,0,0,5,1.0,0.4,1.0,0.05405405405405406,1.0,1.0,0.42857142857142855
4,5,6,17,0,0,0,7,1,0,32,0,0,0,2,2,3,6,11,0,0,0,6,1,0,22,0,0,0,2,1.0,0.0,0.0,0.6,1.0,0.0,0.7
10,6,31,19,0,0,0,7,0,0,45,23,5,0,5,3,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0.14285714285714285,0.14285714285714285,0.5,0.07142857142857142,0.5,0.0,0.4
18,7,31,42,1,0,1,11,0,0,54,34,0,0,5,9,4,28,28,0,0,0,6,0,0,39,28,0,0,4,1.0,1.0,0.0,0.7692307692307693,1.0,0.0,1.0
3,2,25,21,1,1,0,8,0,0,44,24,0,0,10,1,2,20,21,1,1,0,6,0,0,37,17,0,0,7,1.0,1.0,1.0,0.72,1.0,0.0,1.0
5,1,7,9,1,1,0,7,0,0,15,14,0,0,1,2,0,2,2,0,0,0,1,0,0,7,7,0,0,2,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,1.0
3,0,4,1,0,0,0,2,0,0,6,6,0,0,1,2,0,2,2,0,0,0,1,0,0,7,7,0,0,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0
11,6,1,14,0,0,0,0,0,0,12,2,0,0,0,4,2,0,5,0,0,0,0,0,0,6,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
12,5,1,15,0,0,0,0,0,0,14,2,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.5714285714285714
6,5,9,12,1,0,0,4,0,0,17,2,0,0,0,4,3,4,7,1,0,0,1,0,0,11,1,0,0,0,1.0,0.5,0.0,0.3333333333333333,1.0,0.0,1.0
54,9,24,114,0,0,0,0,0,0,77,9,0,0,3,54,9,24,114,0,0,0,0,0,0,77,9,0,0,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0
7,6,15,35,0,0,0,6,0,0,41,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,1.0
2,1,5,6,0,0,0,1,0,1,13,4,0,0,0,3,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
3,1,3,9,0,0,0,3,0,0,14,9,0,0,0,2,1,1,9,0,0,0,2,1,0,20,9,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
10,3,18,9,0,0,0,2,2,0,26,7,0,0,0,13,5,12,15,0,0,0,2,5,0,39,8,0,0,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0
1,3,4,4,0,0,0,0,0,0,9,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,15,35,69,3,0,0,9,0,0,88,4,0,0,1,3,1,2,2,0,0,0,1,0,0,6,1,0,0,0,1.0,0.25,0.0,0.0,1.0,0.0,0.4444444444444444
6,2,1,5,0,0,0,0,0,0,8,3,0,0,0,3,1,1,2,0,0,0,0,0,0,4,2,0,0,0,1.0,0.0,0.0,0.4,1.0,0.0,1.0
10,6,4,14,0,0,0,1,0,0,23,1,0,0,0,9,5,4,7,0,0,0,1,0,0,16,1,0,0,0,1.0,0.0,0.0,0.625,1.0,0.0,1.0
3,1,2,4,1,0,0,0,0,0,5,1,0,2,0,2,1,2,5,1,0,0,2,0,0,8,0,0,1,0,0.0,0.0,0.0,0.5,0.5,0.0,1.0
9,13,16,24,1,0,1,6,0,0,57,3,0,0,5,6,10,12,19,1,0,1,6,0,0,42,3,0,0,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3,1,2,5,1,0,0,3,0,0,8,0,0,1,0,2,1,2,4,1,0,0,2,0,0,8,0,0,1,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
15,4,16,37,0,0,0,0,0,0,15,1,0,0,0,8,3,5,13,0,0,0,0,0,0,11,1,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,4,11,28,0,0,0,0,0,0,12,1,0,0,0,8,3,5,13,0,0,0,0,0,0,11,1,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
12,6,22,31,1,0,0,3,0,0,39,6,0,0,0,1,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0.5,0.0,0.0,0.3333333333333333,0.5,0.5,0.0
30,44,197,397,3,1,2,119,0,0,761,424,39,0,148,30,4,15,32,0,0,0,9,0,0,58,32,3,0,11,1.0,1.0,1.0,1.0,1.0,0.0,0.08333333333333333
7,2,3,10,1,0,0,1,0,0,12,2,0,1,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.25,0.5,0.0,0.16
6,3,10,13,0,0,0,5,0,0,24,11,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.13793103448275862
9,8,12,18,1,0,0,6,0,0,36,9,0,1,2,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.2,0.5,0.0,0.08695652173913043
4,6,6,18,0,0,0,5,0,0,20,1,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.19047619047619047
7,3,3,8,1,0,0,2,0,0,12,2,0,1,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.5,0.0,0.19047619047619047
4,1,3,10,0,0,0,3,0,0,11,3,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.25
6,1,5,11,0,0,0,5,0,0,18,5,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.13793103448275862
3,4,7,8,1,0,1,2,0,0,16,1,0,1,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.3076923076923077
3,2,0,10,1,0,0,1,0,0,8,0,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.25,0.25,0.0,0.23529411764705882
2,0,0,5,0,0,0,1,0,0,4,0,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.4
3,0,3,4,0,0,0,0,0,0,3,2,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4
2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
2,2,2,6,1,0,0,0,0,0,6,0,0,0,0,1,2,2,5,1,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2,1,9,0,0,0,0,0,0,10,1,0,0,0,1,2,2,5,1,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0,2,1,0,0,0,1,0,0,3,3,0,0,1,3,0,2,1,0,0,0,1,0,0,4,3,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0
15,4,9,16,0,0,0,0,0,0,18,7,4,0,3,4,0,6,4,0,0,0,0,0,0,4,4,4,0,0,0.0,0.0,0.0,0.36363636363636365,1.0,0.0,0.5217391304347826
3,7,15,13,0,0,0,6,0,0,31,5,0,0,2,2,7,21,13,0,0,0,6,0,0,25,5,0,0,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0
12,10,10,16,0,0,0,4,1,0,30,0,0,0,1,6,5,4,9,0,0,0,2,0,0,17,0,0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,1.0
19,16,9,62,0,0,0,0,5,1,91,17,0,0,5,14,9,11,37,0,0,0,1,5,1,63,14,0,0,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0
6,0,4,7,0,0,0,0,0,0,11,6,0,0,1,1,0,0,3,0,0,0,0,0,0,5,2,0,0,0,0.4,0.4,0.0,0.3333333333333333,0.4,0.0,1.0
9,5,10,17,0,0,0,1,0,0,18,2,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,5,24,39,0,0,0,0,0,0,31,6,0,0,0,8,1,9,6,0,0,0,0,0,0,8,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
25,5,24,39,0,0,0,0,0,0,31,6,0,0,0,6,0,4,18,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.6,0.6,0.0,0.6
7,3,7,9,0,0,0,5,0,0,17,0,0,0,2,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.2857142857142857
7,3,7,9,0,0,0,5,0,0,17,0,0,0,2,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.2857142857142857
7,5,2,18,1,0,0,2,1,0,20,11,0,0,0,1,0,1,3,0,0,0,0,0,0,2,2,0,0,0,0.5,0.5,0.25,0.16666666666666666,0.5,0.0,0.3125
6,4,4,13,1,1,0,2,0,0,22,12,0,0,0,9,3,2,7,0,0,0,1,0,0,14,5,0,0,1,0.5,0.5,0.0,1.0,1.0,0.0,1.0
3,4,13,15,1,0,0,8,0,0,24,10,0,0,0,3,1,5,1,1,0,0,2,0,0,5,2,0,0,0,1.0,1.0,0.0,0.75,1.0,0.0,1.0
4,1,2,5,0,0,0,2,0,0,6,2,0,0,0,3,1,3,4,0,0,0,1,1,0,6,1,0,0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.8333333333333334
9,12,23,30,1,0,1,8,1,0,74,27,0,0,15,4,5,4,10,1,0,1,1,1,0,22,5,0,0,3,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.34615384615384615
9,6,0,53,0,0,0,0,0,0,39,13,0,0,0,1,0,0,11,0,0,0,0,0,0,4,1,0,0,0,0.25,0.0,0.5,0.5,0.5,0.0,1.0
11,7,1,52,0,0,0,0,0,0,43,14,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0.5,0.0,0.5,0.5,0.5,0.0,0.2
9,6,0,53,0,0,0,0,0,0,39,13,0,0,0,1,0,0,11,0,0,0,0,0,0,4,1,0,0,0,0.5,0.3333333333333333,0.5,0.5,0.5,0.0,0.2857142857142857
11,7,1,52,0,0,0,0,0,0,43,14,0,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0.16666666666666666,0.0,0.5,0.5,0.5,0.0,0.2
7,4,3,14,0,0,0,2,0,0,15,0,0,0,0,2,0,2,5,0,0,0,1,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
1,2,3,14,1,0,1,6,0,0,34,27,0,0,3,2,3,3,5,1,0,1,2,0,0,11,3,0,0,0,1.0,1.0,0.5,0.16666666666666666,1.0,0.5,0.72
2,5,59,198,0,0,0,81,14,0,338,174,0,0,0,2,1,1,17,0,0,0,6,0,0,19,6,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.17543859649122806
3,2,1,8,0,0,0,2,0,0,15,6,0,0,0,2,0,0,2,0,0,0,1,0,0,5,3,0,0,0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.0,0.5
4,3,14,11,0,0,0,1,2,0,18,4,0,0,0,1,0,8,2,0,0,0,0,1,0,7,2,0,0,0,1.0,0.0,0.5,0.5,1.0,0.0,0.0
2,1,0,8,0,0,0,0,1,0,6,3,0,0,0,2,1,0,8,0,0,0,0,1,0,6,3,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
31,15,61,66,1,0,1,15,0,0,181,136,0,0,15,1,2,20,23,0,0,0,12,0,0,80,56,0,0,6,1.0,1.0,1.0,0.4090909090909091,1.0,0.0,0.4878048780487805
8,6,9,14,1,1,0,4,0,0,28,3,0,0,5,2,3,3,5,1,1,0,0,0,0,11,0,0,0,2,1.0,0.0,0.0,0.5,1.0,0.0,0.5333333333333333
2,0,2,1,0,0,0,1,0,1,14,0,0,0,0,2,0,3,3,0,0,0,2,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,3,11,23,1,0,0,1,0,0,5,0,0,0,1,4,3,5,5,1,0,0,1,0,0,7,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
